"","Erpobdellidae","Glossiphonidae","Lumbricidae","Lumbriculidae","Naididae","Gammaridae","Asselidae","Rhyacophilidae","Hydropsychidae","Polycentropodidae","Baetidae","Heptageniidae","Chironomidae","Tipulidae","Physidae","dissOperc","dissOmgl","pH","temp","BOD","ammonia","susSoils","TOM","nitrate","SRP","PO4yr","no3d","no3yr","nh3d","conductivity"
"Erpobdellidae",1,0.82163073336006,0.76425750533266,-0.220791818528109,-0.180523207719875,0.467997068147091,0.674758084251599,-0.231131545701756,0.781454078889308,0.82163073336006,-0.157145154864193,-0.151892171049951,-0.143652502273819,0.363432131801221,-0.139578765311551,0.203199651231952,0.082717325586626,-0.063823633560165,0.0357082637146932,-0.346287332331736,0.368635858141422,0.147492490071054,0.239407851203418,0.0230486809842912,0.0501848648080654,0.105660075360581,0.0118856773000695,0.011885677209518,0.261763714129759,0.417690001294507
"Glossiphonidae",0.82163073336006,1,0.955727178847837,-0.13182032503015,-0.0788160373604374,0.154351661639914,0.864844172526124,-0.137993498501158,0.50691318204806,1,-0.0429358517427934,-0.0878401305251365,-0.130174300221466,-0.00780849640533209,-0.0833333333333333,0.227768073933773,0.116115104014587,0.144183690288469,0.027237482955587,-0.0338026872676466,0.0784390010315802,-0.00193568430756309,0.241855428516717,-0.0958316155098909,-0.0488345518060809,-0.0786664825082822,-0.133787176330627,-0.133787176371102,0.156572635421347,0.13142235056227
"Lumbricidae",0.76425750533266,0.955727178847837,1,-0.152249992095896,0.100378410566849,0.0863611728945441,0.813125306953321,-0.116806894377126,0.448345648778076,0.955727178847837,-0.077746630240907,-0.115279721518803,-0.196014919411944,-0.0549467837994639,0.213586815458271,0.278362597305642,0.0612884468467245,0.118808594219094,0.129964605460979,0.139453332252849,-0.00966504882695743,-0.0873883680847621,0.159340849938788,0.03328714581283,-0.0297749115823618,-0.155686931651027,-0.138899784460164,-0.138899784509802,0.0841324432725886,0.0760671568847179
"Lumbriculidae",-0.220791818528109,-0.13182032503015,-0.152249992095896,1,-0.12964599215388,-0.340882082197439,-0.185948336961501,-0.208314411723099,-0.260346069678568,-0.13182032503015,-0.014018256249206,-0.156250099462733,0.352315066796945,0.0707396426031101,-0.0779665038775912,-0.219088022662743,-0.251869730457088,-0.0640105116997475,-0.0273768195437768,0.295394290231597,-0.0108912468982417,0.220890802797284,-0.353729490959905,0.0316458946762245,-0.043829557236538,0.374431974437771,0.647637095480571,0.647637095595149,0.040496564242196,-0.316236917850346
"Naididae",-0.180523207719875,-0.0788160373604374,0.100378410566849,-0.12964599215388,1,-0.35876640404167,-0.142206616113848,-0.0556305661314633,-0.239122915221889,-0.0788160373604374,-0.207563436254172,-0.165801845526841,-0.378474162710704,-0.261180359141609,0.601610874582693,-0.0489699626643104,-0.487940256326467,-0.127567346858831,0.508992671944899,0.191044245232938,-0.254462496038037,-0.103370052195345,-0.0546469323214517,0.37617037785438,0.428306332288761,0.149678363927186,-0.081436480927618,-0.0814364809601845,-0.283467211727051,0.195869400182209
"Gammaridae",0.467997068147091,0.154351661639914,0.0863611728945441,-0.340882082197439,-0.35876640404167,1,0.34807283593739,0.041789109702285,0.712091495752758,0.154351661639914,-0.245291593481661,-0.166490820643041,-0.196224495390248,0.614597009969894,-0.219976677906852,0.521406212857989,0.118168633939382,-0.306219515116817,0.238474462055009,-0.48347118688707,0.324016095305278,-0.130773013805283,0.0328034814381,0.277392956793584,0.28885901054252,0.248622984312443,0.165620187018915,0.165620186955145,0.0735330151152701,0.277425515580085
"Asselidae",0.674758084251599,0.864844172526124,0.813125306953321,-0.185948336961501,-0.142206616113848,0.34807283593739,1,-0.194656336584823,0.376766328170322,0.864844172526125,-0.0644259105814351,-0.0926856090386927,-0.147798885348479,-0.0877677055125408,-0.117551635100638,0.432771806011686,0.00687118710831956,0.0436900378754365,0.299630668770611,-0.126669028593914,-0.0722022434921759,-0.0449281046106999,0.0866541810802339,0.201846653209415,0.254695978065248,0.0223825640288951,-0.0795671258541166,-0.079567125832571,0.0238723758206707,0.13142235056227
"Rhyacophilidae",-0.231131545701756,-0.137993498501158,-0.116806894377126,-0.208314411723099,-0.0556305661314633,0.041789109702285,-0.194656336584823,1,0.0857216220091112,-0.137993498501158,0.384103226359109,-0.105215484743847,-0.191947417465512,0.14120198887385,0.06256006396861,-0.458802896219446,-0.07364184467886,0.564955999800215,-0.266644541440805,0.152103134954579,-0.222110717609901,-0.46273225248879,-0.279511271142353,-0.408758680624752,-0.48250067747276,-0.613990450714768,-0.397428708194099,-0.397428708118906,-0.256089668102228,-0.391982532707114
"Hydropsychidae",0.781454078889308,0.50691318204806,0.448345648778076,-0.260346069678568,-0.239122915221889,0.712091495752758,0.376766328170322,0.0857216220091112,1,0.506913182048061,-0.1996204146732,-0.139883318208674,-0.277981325518115,0.799736406574182,-0.164583919828638,0.238924299335345,0.0989479709794123,-0.0723457874877873,0.0393458089395466,-0.424478167068081,0.402541018119757,0.111219030072442,0.000476683889385369,-0.0150168265177987,-0.0316514527258055,0.133699001510972,0.135923074568474,0.13592307446427,0.178013409596823,0.190642264322633
"Polycentropodidae",0.82163073336006,1,0.955727178847837,-0.13182032503015,-0.0788160373604374,0.154351661639914,0.864844172526125,-0.137993498501158,0.506913182048061,1,-0.0429358517427933,-0.0878401305251365,-0.130174300221466,-0.00780849640533211,-0.0833333333333333,0.227768073933772,0.116115104014587,0.14418369028847,0.027237482955587,-0.0338026872676466,0.0784390010315803,-0.00193568430756308,0.241855428516717,-0.0958316155098909,-0.0488345518060808,-0.0786664825082823,-0.133787176330627,-0.133787176371102,0.156572635421347,0.13142235056227
"Baetidae",-0.157145154864193,-0.0429358517427934,-0.077746630240907,-0.014018256249206,-0.207563436254172,-0.245291593481661,-0.0644259105814351,0.384103226359109,-0.1996204146732,-0.0429358517427933,1,-0.221374845964004,-0.174653094805761,-0.253627740278975,-0.120749791762119,-0.363485674342131,0.164064787849986,0.890176556508501,-0.256494304457371,0.425573052166388,-0.554276012763421,-0.50220663338238,-0.348355891460093,-0.0550975970366417,-0.150191239986071,-0.595734374571505,-0.444361220211845,-0.444361220110563,-0.470274324139173,-0.188112001631746
"Heptageniidae",-0.151892171049951,-0.0878401305251365,-0.115279721518803,-0.156250099462733,-0.165801845526841,-0.166490820643041,-0.0926856090386927,-0.105215484743847,-0.139883318208674,-0.0878401305251365,-0.221374845964004,1,-0.281391001629497,-0.134896286450979,-0.0987771925074245,0.0629790188421956,0.192725943664183,-0.174230217299489,-0.185289652659748,-0.280813947311829,-0.230311725821359,0.130450382039389,0.105441101576115,-0.271985322458648,-0.234503690310364,-0.052973602531068,-0.0823194180085002,-0.0823194180884907,-0.224587715351314,-0.479080982476217
"Chironomidae",-0.143652502273819,-0.130174300221466,-0.196014919411944,0.352315066796945,-0.378474162710704,-0.196224495390248,-0.147798885348479,-0.191947417465512,-0.277981325518115,-0.130174300221466,-0.174653094805761,-0.281391001629497,1,-0.127633159502385,-0.231645655010561,-0.142167005209407,0.197409801590449,-0.207702234222359,-0.406269172574056,0.0971937337934028,0.61761973861582,0.474358637258099,0.364743206583156,-0.375393570729161,-0.3625225605667,0.0505902745889095,0.180230516485819,0.180230516548193,0.824105284571571,0.223094592998706
"Tipulidae",0.363432131801221,-0.00780849640533209,-0.0549467837994639,0.0707396426031101,-0.261180359141609,0.614597009969894,-0.0877677055125408,0.14120198887385,0.799736406574182,-0.00780849640533211,-0.253627740278975,-0.134896286450979,-0.127633159502385,1,-0.160158627601545,0.0762073092179328,-0.00615286138296608,-0.148407775448366,-0.0291217794561387,-0.393004170181719,0.446958333782504,0.280844585184376,-0.280538916628031,0.0207877390267915,-0.0659535574900562,0.350917240900517,0.517026798412934,0.517026798354673,0.167056102164259,0.0500149554353065
"Physidae",-0.139578765311551,-0.0833333333333333,0.213586815458271,-0.0779665038775912,0.601610874582693,-0.219976677906852,-0.117551635100638,0.06256006396861,-0.164583919828638,-0.0833333333333333,-0.120749791762119,-0.0987771925074245,-0.231645655010561,-0.160158627601545,1,0.186513058642411,-0.177942626931444,-0.0763325419174279,0.349709825804768,0.584497723055136,-0.293149147923109,-0.289523067145513,-0.263336133087108,0.430891246428543,0.0612949651905398,-0.266076804153751,-0.0262247303733595,-0.0262247304070885,-0.234898128937381,-0.179278644816997
"dissOperc",0.203199651231952,0.227768073933773,0.278362597305642,-0.219088022662743,-0.0489699626643104,0.521406212857989,0.432771806011686,-0.458802896219446,0.238924299335345,0.227768073933772,-0.363485674342131,0.0629790188421956,-0.142167005209407,0.0762073092179328,0.186513058642411,1,0.368309985254045,-0.491371742087955,0.398191283450056,0.00430234626701499,0.0988770194180332,0.182246812809681,0.109554959034673,0.501633910802621,0.389038348340312,0.325996339117921,0.296275508717387,0.296275508562514,0.114915162197158,0.0859582806908088
"dissOmgl",0.082717325586626,0.116115104014587,0.0612884468467245,-0.251869730457088,-0.487940256326467,0.118168633939382,0.00687118710831956,-0.07364184467886,0.0989479709794123,0.116115104014587,0.164064787849986,0.192725943664183,0.197409801590449,-0.00615286138296608,-0.177942626931444,0.368309985254045,1,0.187958278990839,-0.671332194140195,0.252814447810344,0.224721814482473,-0.132736235242976,0.491168678415648,-0.379530412685464,-0.48355403211936,-0.24864792156117,-0.0817992927533489,-0.0817992928766908,0.260870827906627,0.0138448064588079
"pH",-0.063823633560165,0.144183690288469,0.118808594219094,-0.0640105116997475,-0.127567346858831,-0.306219515116817,0.0436900378754365,0.564955999800215,-0.0723457874877873,0.14418369028847,0.890176556508501,-0.174230217299489,-0.207702234222359,-0.148407775448366,-0.0763325419174279,-0.491371742087955,0.187958278990839,1,-0.444887763037965,0.469141892017697,-0.520477633801857,-0.495946362590837,-0.219065980015984,-0.279998181146832,-0.354350479015803,-0.663151018105384,-0.45954865913067,-0.459548658975804,-0.458154595745756,-0.26399219331204
"temp",0.0357082637146932,0.027237482955587,0.129964605460979,-0.0273768195437768,0.508992671944899,0.238474462055009,0.299630668770611,-0.266644541440805,0.0393458089395466,0.027237482955587,-0.256494304457371,-0.185289652659748,-0.406269172574056,-0.0291217794561387,0.349709825804768,0.398191283450056,-0.671332194140195,-0.444887763037965,1,-0.180928482968183,-0.275305420782488,0.231800636074272,-0.425596027783563,0.819601844391495,0.83483385800451,0.378265044276084,0.147754457378914,0.147754457368263,-0.281205617195587,0.0776993285875996
"BOD",-0.346287332331736,-0.0338026872676466,0.139453332252849,0.295394290231597,0.191044245232938,-0.48347118688707,-0.126669028593914,0.152103134954579,-0.424478167068081,-0.0338026872676466,0.425573052166388,-0.280813947311829,0.0971937337934028,-0.393004170181719,0.584497723055136,0.00430234626701499,0.252814447810344,0.469141892017697,-0.180928482968183,1,-0.428157241037605,-0.391167335821918,-0.135414245617955,0.0523303961116977,-0.258333963650035,-0.485999264172979,-0.117376728915876,-0.117376728825899,-0.243987710260767,-0.380444889799636
"ammonia",0.368635858141422,0.0784390010315802,-0.00966504882695743,-0.0108912468982417,-0.254462496038037,0.324016095305278,-0.0722022434921759,-0.222110717609901,0.402541018119757,0.0784390010315803,-0.554276012763421,-0.230311725821359,0.61761973861582,0.446958333782504,-0.293149147923109,0.0988770194180332,0.224721814482473,-0.520477633801857,-0.275305420782488,-0.428157241037605,1,0.392463313154534,0.498522512275598,-0.313259689575937,-0.222264852575885,0.40905571627954,0.357402629541618,0.357402629416487,0.909486856837585,0.610217635121124
"susSoils",0.147492490071054,-0.00193568430756309,-0.0873883680847621,0.220890802797284,-0.103370052195345,-0.130773013805283,-0.0449281046106999,-0.46273225248879,0.111219030072442,-0.00193568430756308,-0.50220663338238,0.130450382039389,0.474358637258099,0.280844585184376,-0.289523067145513,0.182246812809681,-0.132736235242976,-0.495946362590837,0.231800636074272,-0.391167335821918,0.392463313154534,1,-0.194072073820916,0.069460646662583,0.0573790287236638,0.418339279299091,0.40240843676508,0.402408436545167,0.497962580956524,0.178360488459424
"TOM",0.239407851203418,0.241855428516717,0.159340849938788,-0.353729490959905,-0.0546469323214517,0.0328034814381,0.0866541810802339,-0.279511271142353,0.000476683889385369,0.241855428516717,-0.348355891460093,0.105441101576115,0.364743206583156,-0.280538916628031,-0.263336133087108,0.109554959034673,0.491168678415648,-0.219065980015984,-0.425596027783563,-0.135414245617955,0.498522512275598,-0.194072073820916,1,-0.473977547448917,-0.214067224076986,-0.0176911982173174,-0.315153661109071,-0.31515366121345,0.482578303293307,0.479534000627909
"nitrate",0.0230486809842912,-0.0958316155098909,0.03328714581283,0.0316458946762245,0.37617037785438,0.277392956793584,0.201846653209415,-0.408758680624752,-0.0150168265177987,-0.0958316155098909,-0.0550975970366417,-0.271985322458648,-0.375393570729161,0.0207877390267915,0.430891246428543,0.501633910802621,-0.379530412685464,-0.279998181146832,0.819601844391495,0.0523303961116977,-0.313259689575937,0.069460646662583,-0.473977547448917,1,0.854941348928059,0.381902477345262,0.314134829224518,0.314134829240455,-0.367528833967357,0.210090272237098
"SRP",0.0501848648080654,-0.0488345518060809,-0.0297749115823618,-0.043829557236538,0.428306332288761,0.28885901054252,0.254695978065248,-0.48250067747276,-0.0316514527258055,-0.0488345518060808,-0.150191239986071,-0.234503690310364,-0.3625225605667,-0.0659535574900562,0.0612949651905398,0.389038348340312,-0.48355403211936,-0.354350479015803,0.83483385800451,-0.258333963650035,-0.222264852575885,0.0573790287236638,-0.214067224076986,0.854941348928059,1,0.561340826242581,0.19625200805421,0.196252008074715,-0.319799334076674,0.465789223841857
"PO4yr",0.105660075360581,-0.0786664825082822,-0.155686931651027,0.374431974437771,0.149678363927186,0.248622984312443,0.0223825640288951,-0.613990450714768,0.133699001510972,-0.0786664825082823,-0.595734374571505,-0.052973602531068,0.0505902745889095,0.350917240900517,-0.266076804153751,0.325996339117921,-0.24864792156117,-0.663151018105384,0.378265044276084,-0.485999264172979,0.40905571627954,0.418339279299091,-0.0176911982173174,0.381902477345262,0.561340826242581,1,0.790804673088616,0.790804673041154,0.25330632163348,0.398017774938489
"no3d",0.0118856773000695,-0.133787176330627,-0.138899784460164,0.647637095480571,-0.081436480927618,0.165620187018915,-0.0795671258541166,-0.397428708194099,0.135923074568474,-0.133787176330627,-0.444361220211845,-0.0823194180085002,0.180230516485819,0.517026798412934,-0.0262247303733595,0.296275508717387,-0.0817992927533489,-0.45954865913067,0.147754457378914,-0.117376728915876,0.357402629541618,0.40240843676508,-0.315153661109071,0.314134829224518,0.19625200805421,0.790804673088616,1,1,0.261594779880363,0.0471120584426402
"no3yr",0.011885677209518,-0.133787176371102,-0.138899784509802,0.647637095595149,-0.0814364809601845,0.165620186955145,-0.079567125832571,-0.397428708118906,0.13592307446427,-0.133787176371102,-0.444361220110563,-0.0823194180884907,0.180230516548193,0.517026798354673,-0.0262247304070885,0.296275508562514,-0.0817992928766908,-0.459548658975804,0.147754457368263,-0.117376728825899,0.357402629416487,0.402408436545167,-0.31515366121345,0.314134829240455,0.196252008074715,0.790804673041154,1,1,0.261594779764804,0.0471120583518993
"nh3d",0.261763714129759,0.156572635421347,0.0841324432725886,0.040496564242196,-0.283467211727051,0.0735330151152701,0.0238723758206707,-0.256089668102228,0.178013409596823,0.156572635421347,-0.470274324139173,-0.224587715351314,0.824105284571571,0.167056102164259,-0.234898128937381,0.114915162197158,0.260870827906627,-0.458154595745756,-0.281205617195587,-0.243987710260767,0.909486856837585,0.497962580956524,0.482578303293307,-0.367528833967357,-0.319799334076674,0.25330632163348,0.261594779880363,0.261594779764804,1,0.479294007807519
"conductivity",0.417690001294507,0.13142235056227,0.0760671568847179,-0.316236917850346,0.195869400182209,0.277425515580085,0.13142235056227,-0.391982532707114,0.190642264322633,0.13142235056227,-0.188112001631746,-0.479080982476217,0.223094592998706,0.0500149554353065,-0.179278644816997,0.0859582806908088,0.0138448064588079,-0.26399219331204,0.0776993285875996,-0.380444889799636,0.610217635121124,0.178360488459424,0.479534000627909,0.210090272237098,0.465789223841857,0.398017774938489,0.0471120584426402,0.0471120583518993,0.479294007807519,1
